Project Key,Repository,Repository URL,Repository Description,Repository Avatar,User,User Avatar,User URL,Commits,Pull Requests (Open),Pull Requests (Closed),Issues (Open),Issues (Closed),Code Reviews,Lines Added (Merged),Lines Removed (Merged),Lines Added (Open PRs),Lines Removed (Open PRs),Lines Added,Lines Removed,Rank,Overall Contribution
Apache HBase,apache/hbase,https://github.com/apache/hbase,Apache HBase,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,84,6,150,0,0,241,0,0,0,0,0,0,26,331
Apache HBase,apache/hbase-connectors,https://github.com/apache/hbase-connectors,Apache HBase Connectors,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,8,0,10,0,0,19,0,0,0,0,0,0,7,27
Apache HBase,apache/hbase-thirdparty,https://github.com/apache/hbase-thirdparty,Apache HBase Third Party Libs,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,24,2,21,0,0,24,0,0,0,0,0,0,3,50
Apache HBase,apache/hbase-operator-tools,https://github.com/apache/hbase-operator-tools,Apache HBase Operator Tools,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,13,0,13,0,0,12,0,0,0,0,0,0,5,25
Apache Hadoop,apache/hadoop,https://github.com/apache/hadoop,Apache Hadoop,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,1,0,2,0,0,2,0,0,0,0,0,0,-1,3
Apache Phoenix,apache/phoenix,https://github.com/apache/phoenix,Apache Phoenix,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,12,0,27,0,0,29,0,0,0,0,0,0,40,41
Apache Phoenix,apache/phoenix-omid,https://github.com/apache/phoenix-omid,Mirror of Apache Omid Incubator,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,10,0,9,0,0,3,0,0,0,0,0,0,10,13
Apache Phoenix,apache/phoenix-queryserver,https://github.com/apache/phoenix-queryserver,Apache Phoenix Query Server,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,5,0,5,0,0,5,0,0,0,0,0,0,4,10
Apache Phoenix,apache/phoenix-thirdparty,https://github.com/apache/phoenix-thirdparty,Apache phoenix Third Party Libs,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,1,0,1,0,0,1,0,0,0,0,0,0,4,2
Apache Pinot,pinot-contrib/pinot-docs,https://github.com/pinot-contrib/pinot-docs,Apache Pinot Documentation,https://avatars.githubusercontent.com/u/62676312?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,2,0,2,0,0,2,0,0,0,0,0,0,63,4
Apache Pinot,apache/pinot,https://github.com/apache/pinot,Apache Pinot - A realtime distributed OLAP datastore,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,3,2,3,6,2,3,0,0,0,0,0,0,175,16
Apache Zookeeper,apache/zookeeper,https://github.com/apache/zookeeper,Apache ZooKeeper,https://avatars.githubusercontent.com/u/47359?v=4,Nihal Jain,https://avatars.githubusercontent.com/u/3429351?v=4,https://github.com/NihalJain,2,0,2,0,0,0,0,0,0,0,0,0,75,2
